,Airline,Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Equipment,Original Airline,Src City,Dest City,Airline Name
59459,US,5265,JFK,3797,SXM,2899,757,US,New York,Philipsburg,Turkish Airlines
59460,US,5265,JFK,3797,TPA,3646,CR7,US,New York,Tampa,Turkish Airlines
59461,US,5265,JFK,3797,YUL,146,ERD,US,New York,Montreal,Turkish Airlines
59462,US,5265,JFK,3797,YYZ,193,CR7,US,New York,Toronto,Turkish Airlines
59463,US,5265,JFK,3797,ZRH,1678,763,US,New York,Zurich,Turkish Airlines
59531,US,5265,LAX,3484,SFO,3469,738,US,Los Angeles,San Francisco,Turkish Airlines
59548,US,5265,LGA,3697,BNA,3690,CR7,US,New York,Nashville,Turkish Airlines
59549,US,5265,LGA,3697,BOS,3448,319 E90,US,New York,Boston,Turkish Airlines
59550,US,5265,LGA,3697,CHO,4015,ERD,US,New York,Charlottesville VA,Turkish Airlines
59551,US,5265,LGA,3697,CLT,3876,321 319 320,US,New York,Charlotte,Turkish Airlines
59552,US,5265,LGA,3697,CMH,3759,CR7 ERD,US,New York,Columbus,Turkish Airlines
59553,US,5265,LGA,3697,DAY,3627,ERD,US,New York,Dayton,Turkish Airlines
59554,US,5265,LGA,3697,DCA,3520,319 E90,US,New York,Washington,Turkish Airlines
59555,US,5265,LGA,3697,DFW,3670,738,US,New York,Dallas-Fort Worth,Turkish Airlines
59556,US,5265,LGA,3697,DTW,3645,CR7,US,New York,Detroit,Turkish Airlines
59557,US,5265,LGA,3697,GSO,4008,ERD,US,New York,Greensboro,Turkish Airlines
59558,US,5265,LGA,3697,ILM,3845,ERD,US,New York,Wilmington,Turkish Airlines
59559,US,5265,LGA,3697,LIT,3660,CR7,US,New York,Little Rock,Turkish Airlines
59560,US,5265,LGA,3697,MIA,3576,738,US,New York,Miami,Turkish Airlines
59561,US,5265,LGA,3697,ORD,3830,738,US,New York,Chicago,Turkish Airlines
59562,US,5265,LGA,3697,ORF,3611,ERD,US,New York,Norfolk,Turkish Airlines
59563,US,5265,LGA,3697,PBI,3722,738,US,New York,West Palm Beach,Turkish Airlines
59564,US,5265,LGA,3697,PHL,3752,E90 319,US,New York,Philadelphia,Turkish Airlines
59565,US,5265,LGA,3697,PIT,3570,CRJ E75,US,New York,Pittsburgh,Turkish Airlines
59566,US,5265,LGA,3697,RDU,3626,ERD CR7,US,New York,Raleigh-durham,Turkish Airlines
